n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
22	12	10	0.83	25	2.08	1.38	1.17	2	2.5	1.51	1.4	2	14	0.208	After	7	20	25	25	1	4
25	13	12	0.92	61337	4718.23	993.03	3.08	6	5111.42	2695.89	3.33	5	40	393.186	Before	0	21	25	25	1	4
22	11	11	1	25	2.27	1.01	1.64	3	2.27	1.74	1.64	3	18	0.207	After	22	21	25	25	1	4
25	13	12	0.92	55597	4276.69	1125.66	3.31	6	4633.08	3064.44	3.58	7	43	356.391	Before	0	22	25	25	1	4
20	10	10	1	25	2.5	1.58	1.8	4	2.5	1.78	1.8	4	18	0.25	After	25	22	25	25	1	4
25	13	12	0.92	60451	4650.08	1155.55	2.54	4	5037.58	3281.35	2.75	5	33	387.506	Before	0	23	25	25	1	4
20	11	9	0.82	25	2.27	1.1	1.73	3	2.78	1.64	2.11	4	19	0.253	After	14	23	25	25	1	4
25	13	12	0.92	64132	4933.23	1277.74	1.77	3	5344.33	3750.01	1.92	4	23	411.103	Before	0	24	25	25	1	4
21	10	11	1.1	25	2.5	1.43	1.5	2	2.27	0.9	1.36	2	15	0.227	After	8	24	25	25	1	4
25	13	12	0.92	57310	4408.46	1347.19	1.38	2	4775.83	3063.99	1.5	3	18	367.372	Before	0	25	25	25	1	4
19	10	9	0.9	25	2.5	1.08	1.2	2	2.78	2.59	1.33	3	12	0.278	After	6	25	25	25	1	4
25	13	12	0.92	58397	4492.08	1398.3	1.69	2	4866.42	3542.09	1.83	5	22	374.34	Before	0	26	25	25	1	4
20	11	9	0.82	25	2.27	1.42	1.18	2	2.78	2.17	1.44	2	13	0.253	After	9	26	25	25	1	4
25	13	12	0.92	60420	4647.69	1169.73	2.23	4	5035	3363.26	2.42	5	29	387.308	Before	0	27	25	25	1	4
21	11	10	0.91	25	2.27	1.19	1.27	3	2.5	3.47	1.4	4	14	0.227	After	15	27	25	25	1	4
25	13	12	0.92	61645	4741.92	1043.25	3.69	7	5137.08	2636.09	4	7	48	395.16	Before	0	28	25	25	1	4
21	11	10	0.91	25	2.27	1.01	1.64	3	2.5	1.58	1.8	3	18	0.227	After	30	28	25	25	1	4
25	13	12	0.92	65440	5033.85	999.95	3.31	7	5453.33	2892.52	3.58	7	43	419.487	Before	0	29	25	25	1	4
21	11	10	0.91	25	2.27	1.27	1.82	4	2.5	1.96	2	4	20	0.227	After	23	29	25	25	1	4
25	13	12	0.92	62489	4806.85	1263.98	1.54	3	5207.42	3304.75	1.67	3	20	400.571	Before	0	30	25	25	1	4
21	12	9	0.75	25	2.08	1.31	1.17	3	2.78	2.17	1.56	3	14	0.231	After	6	30	25	25	1	4
25	13	12	0.92	57576	4428.92	1031.22	2.46	4	4798	3865.9	2.67	6	32	369.077	Before	0	31	25	25	1	4
20	12	8	0.67	25	2.08	1.38	1.42	2	3.12	2.42	2.12	4	17	0.26	After	15	31	25	25	1	4
25	13	12	0.92	62786	4829.69	1277.38	2.23	4	5232.17	5554.07	2.42	5	29	402.474	Before	0	32	25	25	1	4
21	12	9	0.75	25	2.08	1.62	1.33	3	2.78	3.27	1.78	4	16	0.231	After	13	32	25	25	1	4
25	13	12	0.92	57660	4435.38	1106.76	4.77	8	4805	2629.3	5.17	11	62	369.615	Before	0	33	25	25	1	4
19	10	9	0.9	25	2.5	1.27	1.9	3	2.78	2.54	2.11	6	19	0.278	After	43	33	25	25	1	4
25	13	12	0.92	54357	4181.31	1163.38	3.08	7	4529.75	4008.88	3.33	6	40	348.442	Before	0	34	25	25	1	4
